text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,target,cleaned_text
anal pirate,anal,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,anal pirate
analingus,anal,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,analingus
analplug,anal,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,analplug
analplugs,anal,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,analplugs
anilingus,anal,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,anilingus
animal fucker,fuck,,,sexual anatomy / sexual acts,animal references,none,3.0,Severe,sexual anatomy / sexual acts_Severe,animal fucker
anus,anus,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,anus
anus plug,anus,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,anus plug
ape shit,ape,shit,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,ape shit
ape shite,ape,shit,,bodily fluids / excrement,animal references,none,1.6,Strong,bodily fluids / excrement_Strong,ape shite
apeshit,ape,shit,,bodily fluids / excrement,racial / ethnic slurs,animal references,1.4,Mild,bodily fluids / excrement_Mild,apeshit
apeshite,ape,shit,,bodily fluids / excrement,racial / ethnic slurs,none,1.4,Mild,bodily fluids / excrement_Mild,apeshite
ar5e,arse,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,
ar5ehole,arse,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,arehole
arse,arse,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,arse
arse gobbler,arse,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,arse gobbler
arse hole,arse,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,arse hole
arse-bandit,arse,,,sexual orientation / gender,none,none,2.0,Strong,sexual orientation / gender_Strong,arsebandit
arse-bandits,arse,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,arsebandits
arse-fucker,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,arsefucker
arse-fuckers,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,arsefuckers
arse-hole,arse,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,arsehole
arse-shagger,arse,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,arseshagger
arsefuck,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,arsefuck
arsefucker,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,arsefucker
arsehole,arse,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,arsehole
arseshit,arse,shit,,sexual anatomy / sexual acts,other / general insult,none,1.8,Strong,sexual anatomy / sexual acts_Strong,arseshit
arsewipe,arse,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,arsewipe
ashole,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,ashole
ass,ass,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,as
ass bandit,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,as bandit
ass eating boiolas,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,as eating boiolas
ass eating nob jokeys,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,as eating nob jokeys
ass fecker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,as fecker
ass fuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,as fuck
ass fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,as fucker
ass fucking boiolas,fuck,ass,boiolas,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,as fucking boiolas
ass fucking nob jokeys,fuck,ass,knob,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,as fucking nob jokeys
ass hole,ass,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,as hole
ass kisser,ass,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,as kisser
ass licking,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,as licking
ass muncher,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,as muncher
ass-bandit,ass,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,assbandit
ass-fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,assfucker
ass-fuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,assfuckers
ass-hole,ass,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,asshole
asses,ass,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,ass
assface,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,assface
assfck,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,assfck
assfcker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,assfcker
assfk,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,assfk
assfkcer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,assfkcer
assfker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,assfker
assfkr,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,assfkr
assfook,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,assfook
assfuccer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,assfuccer
assfuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,assfuck
assfuck3r,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,assfuckr
assfucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,assfucker
assfuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,assfuckers
assfuckerz,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.4,Strong,sexual anatomy / sexual acts_Strong,assfuckerz
assfukah,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.4,Strong,sexual anatomy / sexual acts_Strong,assfukah
assfukka,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,assfukka
assfukker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,assfukker
assfukkerz,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,assfukkerz
assfvck3r,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,assfvckr
assfvcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,assfvcker
asshat,ass,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,asshat
asshol3,ass,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,asshol
asshole,ass,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,asshole
asshole fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,asshole fucker
assholes,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,asshole
assmunch,ass,,,sexual anatomy / sexual acts,none,none,1.8,Strong,sexual anatomy / sexual acts_Strong,assmunch
assmuncher,ass,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,assmuncher
asswhole,ass,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,asswhole
asswipe,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,asswipe
axe wound,wound,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,axe wound
azz,ass,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,azz
azzhole,ass,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,azzhole
b to the inch,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,b inch
b！tch,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,b！tch
b00bz,boobs,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bbz
b0llock,bollocks,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bllock
b0llocks,bollocks,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,bllocks
b1+ch,bitch,,,sexual orientation / gender,none,none,1.0,Mild,sexual orientation / gender_Mild,bch
b17ch,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,bch
b1otch,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,botch
b1otchs,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,botch
b1tch,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,btch
b1tch1ng,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,btchng
b1tch35,bitch,,,sexual orientation / gender,none,none,1.0,Mild,sexual orientation / gender_Mild,btch
b1tch3s,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,btchs
b1tchees,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,btchees
b1tches,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,btches
b1tchez,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,btchez
b1tchin,bitch,,,other / general insult,none,none,1.2,Mild,other / general insult_Mild,btchin
b1tching,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,btching
b1tchs,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,btchs
b1tchy,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,btchy
baby batter,baby batter,,,bodily fluids / excrement,none,none,1.4,Mild,bodily fluids / excrement_Mild,baby batter
ballbag,bollocks,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,ballbag
bangbros,bang,,,sexual anatomy / sexual acts,sexual orientation / gender,none,1.6,Strong,sexual anatomy / sexual acts_Strong,bangbros
bassturd,bastard,,,other / general insult,none,none,1.2,Mild,other / general insult_Mild,bassturd
bastard,bastard,retard,,other / general insult,none,none,1.2,Mild,other / general insult_Mild,bastard
bastardish,bastard,,,other / general insult,none,none,1.0,Mild,other / general insult_Mild,bastardish
bastards,bastard,,,other / general insult,none,none,1.6,Strong,other / general insult_Strong,bastard
basterd,bastard,,,other / general insult,none,none,1.0,Mild,other / general insult_Mild,basterd
bastid,bastard,,,other / general insult,none,none,1.2,Mild,other / general insult_Mild,bastid
bastinado,bastard,,,other / general insult,none,none,1.8,Strong,other / general insult_Strong,bastinado
basturd,bastard,,,bodily fluids / excrement,other / general insult,none,1.2,Mild,bodily fluids / excrement_Mild,basturd
bater,masturbate,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,bater
bates,masturbate,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bates
batshit,shit,,,bodily fluids / excrement,animal references,none,1.0,Mild,bodily fluids / excrement_Mild,batshit
batshite,shit,,,bodily fluids / excrement,animal references,none,1.2,Mild,bodily fluids / excrement_Mild,batshite
bbc,cock,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,bbc
bean queen,bean queen,,,racial / ethnic slurs,none,none,2.2,Strong,racial / ethnic slurs_Strong,bean queen
beaner,beaner,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,beaner
beaners,beaner,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,beaner
beat my meat,meat,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,beat meat
beat off,beat off,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,beat
beat the meat,meat,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,beat meat
beat your meat,meat,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,beat meat
beeotch,bitch,,,sexual orientation / gender,none,none,1.0,Mild,sexual orientation / gender_Mild,beeotch
bell end,bellend,,,mental disability,sexual anatomy / sexual acts,none,1.0,Mild,mental disability_Mild,bell end
bellend,bellend,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,bellend
bender,bender,,,sexual orientation / gender,none,none,1.6,Strong,sexual orientation / gender_Strong,bender
bewbs,boobs,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bewbs
beyoch,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,beyoch
beyotch,bitch,,,other / general insult,none,none,1.2,Mild,other / general insult_Mild,beyotch
bi + ch,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,bi ch
bi+ch,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,bich
biatch,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,biatch
biches,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,biches
biotch,bitch,,,sexual orientation / gender,none,none,1.0,Mild,sexual orientation / gender_Mild,biotch
biotches,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,biotches
biotchez,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,biotchez
bishes,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,bishes
bitch,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,bitch
bitch3s,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,bitch
bitchass,bitch,ass,,sexual orientation / gender,other / general insult,none,1.6,Strong,sexual orientation / gender_Strong,bitchass
bitchasses,bitch,ass,,sexual anatomy / sexual acts,other / general insult,none,1.8,Strong,sexual anatomy / sexual acts_Strong,bitchasses
bitched,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,bitched
bitcher,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,bitcher
bitchers,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,bitchers
bitches,bitch,,,sexual orientation / gender,none,none,1.6,Strong,sexual orientation / gender_Strong,bitch
bitchez,bitch,,,sexual orientation / gender,none,none,1.4,Mild,sexual orientation / gender_Mild,bitchez
bitchfuck,fuck,bitch,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,bitchfuck
bitchhole,bitch,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.4,Strong,sexual anatomy / sexual acts_Strong,bitchhole
bitchin,bitch,,,other / general insult,none,none,1.2,Mild,other / general insult_Mild,bitchin
bitchin',bitch,,,other / general insult,none,none,1.0,Mild,other / general insult_Mild,bitchin
bitching,bitch,,,sexual orientation / gender,none,none,1.0,Mild,sexual orientation / gender_Mild,bitching
bitchlike,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,bitchlike
bitchness,bitch,,,sexual orientation / gender,none,none,1.6,Strong,sexual orientation / gender_Strong,bitchness
bitchs,bitch,,,sexual orientation / gender,none,none,1.0,Mild,sexual orientation / gender_Mild,bitch
bitchslap,bitch,,,sexual orientation / gender,other / general insult,none,1.0,Mild,sexual orientation / gender_Mild,bitchslap
bitchtits,bitch,,,sexual anatomy / sexual acts,none,none,2.2,Strong,sexual anatomy / sexual acts_Strong,bitchtits
bitchy,bitch,,,sexual orientation / gender,none,none,1.2,Mild,sexual orientation / gender_Mild,bitchy
bitchy ass,bitch,ass,,sexual anatomy / sexual acts,sexual orientation / gender,none,1.8,Strong,sexual anatomy / sexual acts_Strong,bitchy as
bizzach,bitch,,,sexual orientation / gender,none,none,1.6,Strong,sexual orientation / gender_Strong,bizzach
BJ,blowjob,,,sexual anatomy / sexual acts,none,none,1.6,Strong,sexual anatomy / sexual acts_Strong,bj
blacky,blacky,,,racial / ethnic slurs,none,none,2.4,Strong,racial / ethnic slurs_Strong,blacky
blow a load,blow a load,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,blow load
blow job,blowjob,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,blow job
blowjob,blowjob,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,blowjob
blumpkin boy,blumpkin,,,sexual anatomy / sexual acts,none,none,2.4,Strong,sexual anatomy / sexual acts_Strong,blumpkin boy
boll0ck,bollocks,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bollck
bollock,bollocks,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bollock
bollockchops,bollocks,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,bollockchops
bollocks,bollocks,,,sexual anatomy / sexual acts,none,none,1.2,Mild,sexual anatomy / sexual acts_Mild,bollock
bollocktician,bollocks,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,bollocktician
bollox,bollocks,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bollox
bondage,bondage,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bondage
boner,boner,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,boner
bonk juice,bonk,,,bodily fluids / excrement,none,none,1.6,Strong,bodily fluids / excrement_Strong,bonk juice
boobs,boobs,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,boob
booty,booty,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,booty
breasticles,breast,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,breasticles
breasts,breast,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,breast
bugger,bugger,,,sexual anatomy / sexual acts,other / general insult,none,1.2,Mild,sexual anatomy / sexual acts_Mild,bugger
bugger off,bugger,,,sexual anatomy / sexual acts,other / general insult,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bugger
bull shit,shit,,,bodily fluids / excrement,animal references,none,1.0,Mild,bodily fluids / excrement_Mild,bull shit
bullshi,shit,,,bodily fluids / excrement,none,none,1.0,Mild,bodily fluids / excrement_Mild,bullshi
bullshit,shit,,,bodily fluids / excrement,animal references,none,1.2,Mild,bodily fluids / excrement_Mild,bullshit
bullshite,shit,,,bodily fluids / excrement,none,none,1.0,Mild,bodily fluids / excrement_Mild,bullshite
bum-bandits,bum,,,sexual orientation / gender,none,none,1.8,Strong,sexual orientation / gender_Strong,bumbandits
bum-driller,bum,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,bumdriller
bumhole,bum,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bumhole
bung hole,bung,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,bung hole
butt fuck,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,butt fuck
butt fucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,butt fucker
butt hole,butt,,,sexual anatomy / sexual acts,none,none,1.0,Mild,sexual anatomy / sexual acts_Mild,butt hole
butt pirate,butt,,,sexual orientation / gender,none,none,2.2,Strong,sexual orientation / gender_Strong,butt pirate
butt-fucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,buttfucker
butt-fuckers,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,buttfuckers
butt-fucking-bandit,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,buttfuckingbandit
butt-munchers,butt,,,sexual anatomy / sexual acts,none,none,2.0,Strong,sexual anatomy / sexual acts_Strong,buttmunchers
buttermilk,buttermilk,,,racial / ethnic slurs,none,none,1.4,Mild,racial / ethnic slurs_Mild,buttermilk
buttfuck,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong,sexual anatomy / sexual acts_Strong,buttfuck
buttfucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,buttfucker
buttfuckers,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,buttfuckers
butthole,butt,,,sexual anatomy / sexual acts,sexual orientation / gender,none,1.2,Mild,sexual anatomy / sexual acts_Mild,butthole
butthole boy,butt,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.6,Severe,sexual anatomy / sexual acts_Severe,butthole boy
bwc,cock,,,sexual anatomy / sexual acts,none,none,1.4,Mild,sexual anatomy / sexual acts_Mild,bwc
c*nt,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,cnt
c*ntface,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,none,3.0,Severe,sexual anatomy / sexual acts_Severe,cntface
c*nts,cunt,,,sexual orientation / gender,none,none,2.8,Severe,sexual orientation / gender_Severe,cnts
c*nty,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe,sexual anatomy / sexual acts_Severe,cnty
c00n,coon,,,racial / ethnic slurs,none,none,2.8,Severe,racial / ethnic slurs_Severe,cn
c00nies,coon,,,racial / ethnic slurs,none,none,2.6,Severe,racial / ethnic slurs_Severe,cnies
