text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,processed_text
ass fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,as fucker
ass fucking boiolas,fuck,ass,boiolas,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,as fucking boiolas
ass fucking nob jokeys,fuck,ass,knob,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,as fucking nob jokeys
ass hole,ass,,,sexual anatomy / sexual acts,,,1.2,Mild,as hole
ass kisser,ass,,,sexual anatomy / sexual acts,,,1.2,Mild,as kisser
ass licking,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,as licking
ass muncher,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,as muncher
ass-bandit,ass,,,sexual anatomy / sexual acts,,,1.8,Strong,assbandit
ass-fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfucker
ass-fuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfuckers
ass-hole,ass,,,sexual anatomy / sexual acts,,,2.0,Strong,asshole
asses,ass,,,sexual anatomy / sexual acts,,,1.0,Mild,ass
assface,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,assface
assfck,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfck
assfcker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfcker
assfk,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,assfk
assfkcer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfkcer
assfker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,assfker
assfkr,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,assfkr
assfook,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfook
assfuccer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,assfuccer
assfuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfuck
assfuck3r,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfuck3r
assfucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfucker
assfuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfuckers
assfuckerz,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong,assfuckerz
assfukah,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong,assfukah
assfukka,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfukka
assfukker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfukker
assfukkerz,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfukkerz
assfvck3r,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,assfvck3r
assfvcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfvcker
asshat,ass,,,sexual anatomy / sexual acts,,,1.2,Mild,asshat
asshol3,ass,,,sexual anatomy / sexual acts,,,1.8,Strong,asshol3
asshole,ass,,,sexual anatomy / sexual acts,,,1.2,Mild,asshole
asshole fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,asshole fucker
assholes,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,asshole
assmunch,ass,,,sexual anatomy / sexual acts,,,1.8,Strong,assmunch
assmuncher,ass,,,sexual anatomy / sexual acts,,,2.2,Strong,assmuncher
asswhole,ass,,,sexual anatomy / sexual acts,,,1.4,Mild,asswhole
asswipe,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,asswipe
axe wound,wound,,,sexual anatomy / sexual acts,,,1.2,Mild,axe wound
azz,ass,,,sexual anatomy / sexual acts,,,1.0,Mild,azz
azzhole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,azzhole
b to the inch,bitch,,,sexual orientation / gender,,,1.2,Mild,b inch
b！tch,bitch,,,sexual orientation / gender,,,1.4,Mild,b！tch
b00bz,boobs,,,sexual anatomy / sexual acts,,,1.0,Mild,b00bz
b0llock,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild,b0llock
b0llocks,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild,b0llocks
b1+ch,bitch,,,sexual orientation / gender,,,1.0,Mild,b1ch
b17ch,bitch,,,sexual orientation / gender,,,1.4,Mild,b17ch
b1otch,bitch,,,sexual orientation / gender,,,1.4,Mild,b1otch
b1otchs,bitch,,,sexual orientation / gender,,,1.2,Mild,b1otchs
b1tch,bitch,,,sexual orientation / gender,,,1.4,Mild,b1tch
b1tch1ng,bitch,,,sexual orientation / gender,,,1.2,Mild,b1tch1ng
b1tch35,bitch,,,sexual orientation / gender,,,1.0,Mild,b1tch35
b1tch3s,bitch,,,sexual orientation / gender,,,1.4,Mild,b1tch3s
b1tchees,bitch,,,sexual orientation / gender,,,1.4,Mild,b1tchees
b1tches,bitch,,,sexual orientation / gender,,,1.4,Mild,b1tches
b1tchez,bitch,,,sexual orientation / gender,,,1.2,Mild,b1tchez
b1tchin,bitch,,,other / general insult,,,1.2,Mild,b1tchin
b1tching,bitch,,,sexual orientation / gender,,,1.2,Mild,b1tching
b1tchs,bitch,,,sexual orientation / gender,,,1.4,Mild,b1tchs
b1tchy,bitch,,,sexual orientation / gender,,,1.2,Mild,b1tchy
baby batter,baby batter,,,bodily fluids / excrement,,,1.4,Mild,baby batter
ballbag,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild,ballbag
bangbros,bang,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong,bangbros
bassturd,bastard,,,other / general insult,,,1.2,Mild,bassturd
bastard,bastard,retard,,other / general insult,,,1.2,Mild,bastard
bastardish,bastard,,,other / general insult,,,1.0,Mild,bastardish
bastards,bastard,,,other / general insult,,,1.6,Strong,bastard
basterd,bastard,,,other / general insult,,,1.0,Mild,basterd
bastid,bastard,,,other / general insult,,,1.2,Mild,bastid
bastinado,bastard,,,other / general insult,,,1.8,Strong,bastinado
basturd,bastard,,,bodily fluids / excrement,other / general insult,,1.2,Mild,basturd
bater,masturbate,,,sexual anatomy / sexual acts,,,1.6,Strong,bater
bates,masturbate,,,sexual anatomy / sexual acts,,,1.0,Mild,bates
batshit,shit,,,bodily fluids / excrement,animal references,,1.0,Mild,batshit
batshite,shit,,,bodily fluids / excrement,animal references,,1.2,Mild,batshite
bbc,cock,,,sexual anatomy / sexual acts,,,1.4,Mild,bbc
bean queen,bean queen,,,racial / ethnic slurs,,,2.2,Strong,bean queen
beaner,beaner,,,racial / ethnic slurs,,,2.6,Severe,beaner
beaners,beaner,,,racial / ethnic slurs,,,2.6,Severe,beaner
beat my meat,meat,,,sexual anatomy / sexual acts,,,1.2,Mild,beat meat
beat off,beat off,,,sexual anatomy / sexual acts,,,1.2,Mild,beat
beat the meat,meat,,,sexual anatomy / sexual acts,,,1.4,Mild,beat meat
beat your meat,meat,,,sexual anatomy / sexual acts,,,1.4,Mild,beat meat
beeotch,bitch,,,sexual orientation / gender,,,1.0,Mild,beeotch
bell end,bellend,,,mental disability,sexual anatomy / sexual acts,,1.0,Mild,bell end
bellend,bellend,,,sexual anatomy / sexual acts,,,1.2,Mild,bellend
bender,bender,,,sexual orientation / gender,,,1.6,Strong,bender
bewbs,boobs,,,sexual anatomy / sexual acts,,,1.0,Mild,bewbs
beyoch,bitch,,,sexual orientation / gender,,,1.2,Mild,beyoch
beyotch,bitch,,,other / general insult,,,1.2,Mild,beyotch
bi + ch,bitch,,,sexual orientation / gender,,,1.2,Mild,bi ch
bi+ch,bitch,,,sexual orientation / gender,,,1.4,Mild,bich
biatch,bitch,,,sexual orientation / gender,,,1.2,Mild,biatch
biches,bitch,,,sexual orientation / gender,,,1.4,Mild,biches
biotch,bitch,,,sexual orientation / gender,,,1.0,Mild,biotch
biotches,bitch,,,sexual orientation / gender,,,1.2,Mild,biotches
biotchez,bitch,,,sexual orientation / gender,,,1.4,Mild,biotchez
bishes,bitch,,,sexual orientation / gender,,,1.2,Mild,bishes
bitch,bitch,,,sexual orientation / gender,,,1.4,Mild,bitch
bitch3s,bitch,,,sexual orientation / gender,,,1.2,Mild,bitch3s
bitchass,bitch,ass,,sexual orientation / gender,other / general insult,,1.6,Strong,bitchass
bitchasses,bitch,ass,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong,bitchasses
bitched,bitch,,,sexual orientation / gender,,,1.2,Mild,bitched
bitcher,bitch,,,sexual orientation / gender,,,1.4,Mild,bitcher
bitchers,bitch,,,sexual orientation / gender,,,1.4,Mild,bitchers
bitches,bitch,,,sexual orientation / gender,,,1.6,Strong,bitch
bitchez,bitch,,,sexual orientation / gender,,,1.4,Mild,bitchez
bitchfuck,fuck,bitch,,sexual anatomy / sexual acts,,,2.4,Strong,bitchfuck
bitchhole,bitch,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong,bitchhole
bitchin,bitch,,,other / general insult,,,1.2,Mild,bitchin
bitchin',bitch,,,other / general insult,,,1.0,Mild,bitchin
bitching,bitch,,,sexual orientation / gender,,,1.0,Mild,bitching
bitchlike,bitch,,,sexual orientation / gender,,,1.2,Mild,bitchlike
bitchness,bitch,,,sexual orientation / gender,,,1.6,Strong,bitchness
bitchs,bitch,,,sexual orientation / gender,,,1.0,Mild,bitch
bitchslap,bitch,,,sexual orientation / gender,other / general insult,,1.0,Mild,bitchslap
bitchtits,bitch,,,sexual anatomy / sexual acts,,,2.2,Strong,bitchtits
bitchy,bitch,,,sexual orientation / gender,,,1.2,Mild,bitchy
bitchy ass,bitch,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong,bitchy as
bizzach,bitch,,,sexual orientation / gender,,,1.6,Strong,bizzach
BJ,blowjob,,,sexual anatomy / sexual acts,,,1.6,Strong,bj
blacky,blacky,,,racial / ethnic slurs,,,2.4,Strong,blacky
blow a load,blow a load,,,bodily fluids / excrement,,,1.6,Strong,blow load
blow job,blowjob,,,sexual anatomy / sexual acts,,,2.0,Strong,blow job
blowjob,blowjob,,,sexual anatomy / sexual acts,,,1.2,Mild,blowjob
blumpkin boy,blumpkin,,,sexual anatomy / sexual acts,,,2.4,Strong,blumpkin boy
boll0ck,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild,boll0ck
bollock,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild,bollock
bollockchops,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild,bollockchops
bollocks,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild,bollock
bollocktician,bollocks,,,sexual anatomy / sexual acts,,,1.4,Mild,bollocktician
bollox,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild,bollox
bondage,bondage,,,sexual anatomy / sexual acts,,,1.0,Mild,bondage
boner,boner,,,sexual anatomy / sexual acts,,,1.0,Mild,boner
bonk juice,bonk,,,bodily fluids / excrement,,,1.6,Strong,bonk juice
boobs,boobs,,,sexual anatomy / sexual acts,,,1.0,Mild,boob
booty,booty,,,sexual anatomy / sexual acts,,,1.0,Mild,booty
breasticles,breast,,,sexual anatomy / sexual acts,,,1.4,Mild,breasticles
breasts,breast,,,sexual anatomy / sexual acts,,,1.0,Mild,breast
bugger,bugger,,,sexual anatomy / sexual acts,other / general insult,,1.2,Mild,bugger
bugger off,bugger,,,sexual anatomy / sexual acts,other / general insult,,1.0,Mild,bugger
bull shit,shit,,,bodily fluids / excrement,animal references,,1.0,Mild,bull shit
bullshi,shit,,,bodily fluids / excrement,,,1.0,Mild,bullshi
bullshit,shit,,,bodily fluids / excrement,animal references,,1.2,Mild,bullshit
bullshite,shit,,,bodily fluids / excrement,,,1.0,Mild,bullshite
bum-bandits,bum,,,sexual orientation / gender,,,1.8,Strong,bumbandits
bum-driller,bum,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,bumdriller
bumhole,bum,,,sexual anatomy / sexual acts,,,1.0,Mild,bumhole
bung hole,bung,,,sexual anatomy / sexual acts,,,1.0,Mild,bung hole
butt fuck,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,butt fuck
butt fucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,butt fucker
butt hole,butt,,,sexual anatomy / sexual acts,,,1.0,Mild,butt hole
butt pirate,butt,,,sexual orientation / gender,,,2.2,Strong,butt pirate
butt-fucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,buttfucker
butt-fuckers,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,buttfuckers
butt-fucking-bandit,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,buttfuckingbandit
butt-munchers,butt,,,sexual anatomy / sexual acts,,,2.0,Strong,buttmunchers
buttermilk,buttermilk,,,racial / ethnic slurs,,,1.4,Mild,buttermilk
buttfuck,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,buttfuck
buttfucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,buttfucker
buttfuckers,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,buttfuckers
butthole,butt,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.2,Mild,butthole
butthole boy,butt,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,butthole boy
bwc,cock,,,sexual anatomy / sexual acts,,,1.4,Mild,bwc
c*nt,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,cnt
c*ntface,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe,cntface
c*nts,cunt,,,sexual orientation / gender,,,2.8,Severe,cnts
c*nty,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,cnty
c00n,coon,,,racial / ethnic slurs,,,2.8,Severe,c00n
c00nies,coon,,,racial / ethnic slurs,,,2.6,Severe,c00nies
c0ck,cock,,,sexual anatomy / sexual acts,,,1.2,Mild,c0ck
c0ckhead,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,c0ckhead
c0cks,cock,,,sexual anatomy / sexual acts,,,1.6,Strong,c0cks
c0cksuccer,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,c0cksuccer
c0cksucked,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,c0cksucked
c0cksucker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,c0cksucker
c0cksuckers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,c0cksuckers
c0x,cock,,,sexual anatomy / sexual acts,,,1.4,Mild,c0x
c0xux0r,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,c0xux0r
caaak,cock,,,sexual anatomy / sexual acts,,,1.4,Mild,caaak
caca,shit,,,bodily fluids / excrement,,,1.0,Mild,caca
cack,cock,,,bodily fluids / excrement,,,1.2,Mild,cack
cagone,cojones,,,bodily fluids / excrement,,,1.2,Mild,cagone
cajones,cojones,,,sexual anatomy / sexual acts,,,1.0,Mild,cajones
Camel jockey,camel jockey,,,racial / ethnic slurs,animal references,,2.8,Severe,camel jockey
cameltoe,cameltoe,,,sexual anatomy / sexual acts,,,1.2,Mild,cameltoe
carpet muncher,carpet muncher,,,sexual anatomy / sexual acts,,,2.4,Strong,carpet muncher
carpetmuncher,carpet muncher,,,sexual anatomy / sexual acts,,,2.6,Severe,carpetmuncher
carpetmunchers,carpet muncher,,,sexual orientation / gender,,,2.2,Strong,carpetmunchers
carpetmunching,carpet muncher,,,sexual anatomy / sexual acts,,,1.6,Strong,carpetmunching
cawk,cock,,,sexual anatomy / sexual acts,,,1.4,Mild,cawk
cawk muncher,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cawk muncher
cawkmuncher,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cawkmuncher
cawks,cock,,,sexual anatomy / sexual acts,,,1.2,Mild,cawks
cawksucker,cock,,,sexual anatomy / sexual acts,,,2.6,Severe,cawksucker
ch1nk,chink,,,racial / ethnic slurs,,,3.0,Severe,ch1nk
chesticles,testicles,,,sexual anatomy / sexual acts,,,1.0,Mild,chesticles
chingchong,chingchong,,,racial / ethnic slurs,,,2.8,Severe,chingchong
chink,chink,,,racial / ethnic slurs,,,3.0,Severe,chink
chinky,chink,,,racial / ethnic slurs,,,3.0,Severe,chinky
choad nectar,choad,,,bodily fluids / excrement,,,2.0,Strong,choad nectar
chocha,chocha,,,sexual anatomy / sexual acts,,,2.4,Strong,chocha
choke the chicken,choke the chicken,,,sexual anatomy / sexual acts,,,1.4,Mild,choke chicken
cholo,cholo,,,racial / ethnic slurs,,,1.6,Strong,cholo
clitlickers,clit,,,sexual anatomy / sexual acts,,,2.0,Strong,clitlickers
closet fuckhead,fuck,,,sexual orientation / gender,,,2.8,Severe,closet fuckhead
clusterfuck,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong,clusterfuck
clusterfucked,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong,clusterfucked
clusterfucker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong,clusterfucker
clusterfucking,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,clusterfucking
clusterfucks,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong,clusterfucks
cobb knobbler,knob,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong,cobb knobbler
cock,cock,,,sexual anatomy / sexual acts,,,1.4,Mild,cock
cock droplets,cock,,,bodily fluids / excrement,sexual anatomy / sexual acts,,2.4,Strong,cock droplet
cock head,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cock head
cock jockey,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cock jockey
cock knocker,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,cock knocker
cock licker,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cock licker
cock munch,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cock munch
cock rider,cock,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong,cock rider
cock smoker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cock smoker
cock snot,cock,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong,cock snot
cock suck,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,cock suck
cock sucker,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cock sucker
cock sucking,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cock sucking
cock sucking boiolas,cock,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,cock sucking boiolas
cock sucking nob jokeys,cock,knob,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,cock sucking nob jokeys
cock tease,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,cock tease
cock-face,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cockface
cock-gobbler,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cockgobbler
cock-head,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,cockhead
cock-sucker,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cocksucker
cock-suckers,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cocksucker
cockboy,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cockboy
cockeater,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cockeater
cockface,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cockface
cockgobbler,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,cockgobbler
cockh3ad,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cockh3ad
cockhead,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,cockhead
cockheads,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cockheads
cockhed,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cockhed
cockless,cock,,,sexual anatomy / sexual acts,,,1.4,Mild,cockless
cocklicker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocklicker
cockmonger,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cockmonger
cockmunch,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cockmunch
cockmuncher,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,cockmuncher
cocks,cock,,,sexual anatomy / sexual acts,,,1.6,Strong,cock
cockshit,cock,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong,cockshit
cockskin,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,cockskin
cocksmoker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksmoker
cocksucc,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cocksucc
cocksuccas,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksuccas
cocksuccer,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksuccer
cocksuccers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksuccers
cocksuck,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksuck
cocksuckas,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cocksuckas
cocksucked,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cocksucked
cocksucker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksucker
cocksuckers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksucker
cocksucking,cock,,,sexual anatomy / sexual acts,,,2.4,Strong,cocksucking
cocksucking mothafuckers,motherfucker,cock,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe,cocksucking mothafuckers
cocksucks,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksucks
cocksuk,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cocksuk
cocksuka,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cocksuka
cocksukka,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cocksukka
cocsuck,cock,,,sexual anatomy / sexual acts,,,2.0,Strong,cocsuck
cokmuncher,cock,,,sexual anatomy / sexual acts,,,2.2,Strong,cokmuncher
coksucka,cock,,,sexual anatomy / sexual acts,,,1.8,Strong,coksucka
coolie,coolie,,,racial / ethnic slurs,,,1.8,Strong,coolie
coon,coon,,,racial / ethnic slurs,,,3.0,Severe,coon
